uk:
Дмитрівська|Дмитриевская|16|5155909,8160941,31118073,33646895,35635460,70116718,70116719,70117113,70117114,70117121,70204023,70204025,86289548,159075691,205077803,205081191
Дмитрівська|Дмитровская|3|124890275,153413861,153417511
Дмитрова|Димитрова|1|95493851
Дмитрова|Дмитрова|4|105939311,125359906,343944370,403144437
Довга|Длинная|25|75377331,88299269,93378237,107353938,125158586,155790236,161664655,168250994,170317503,170700490,226972551,251815949,255662975,271280565,285396921,285699865,286231436,288753501,288753508,288753610,288753638,333972008,342828731,342828732,363445750
Довга|Долгая|1|31514158
Досвітня|Досвитная|2|179755379,341895249
Досвітня|Предрассветная|1|183833549
Дослідний|Исследовательский|1|34352854
Дослідний|Опытный|1|104119069
Достоєвського|Достоевского|79|31150842,31508497,34419317,34440842,39189241,39189242,44046054,46340383,49482745,52958717,60175389,61009901,61009902,73993901,83355208,85899842,85965189,85965227,88386556,97108534,104151214,104499136,105843001,107420352,115375219,119464297,122213942,123590968,124063659,126409504,126608904,127183336,131490403,133150791,134205342,142282070,144337665,151373149,153594517,156319621,164141511,164141512,184133952,185178028,185178029,185178032,187355168,195541521,204208315,204208318,208571433,223585800,224017713,229412512,231114789,244455358,264430840,266698174,270119192,274249858,281197195,295282342,295282343,301614095,304417898,306666493,306666496,306666507,310076934,310682893,310682894,318409070,337072663,344212791,351680806,351680807,355942663,363427813,394642296
Достоєвського|Кривомазова|1|152616229
Енергетиків|Енергетиков|2|199223022,199223023
Енергетиків|Энергетиков|72|21739278,24347476,28792640,29087647,33705779,35080611,40921075,41079364,41079368,41079369,48095241,69471542,74582262,83624983,91762436,91762443,91762445,94967794,94967796,97220583,107935210,108531723,108531726,108531729,108531741,108531746,112678014,113516656,113516676,114372348,114372877,114372878,114372879,115916345,115916347,115916348,115916363,124749377,127677184,127677185,138468916,151491818,151491819,151906784,164808662,169071904,169851866,171810347,174612570,183824664,184423504,201459303,202883394,205828480,210249147,220731989,233595873,234878897,248119907,252869740,253496363,287513182,292342872,310065823,312793953,316189550,317684797,317686139,322855478,323098890,323098891,334833579
Жидкова|В.Ф.Жидкова|1|95684315
Жидкова|Жидкова|1|403583290
Житня|Житная|2|59312501,180015093
Житня|Житняя|1|218739701
Жихорський|Железнякова|1|88373173
Жихорський|Жихорский|1|87531353
Жовтенят|Жовтенят|2|39130458,83924199
Жовтенят|Октябрят|1|88208698
Жовтнева|Октябрськая|1|259751140
